time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,p_term_nm,i_term_nm,d_term_nm,integral,steering_deg
1.770,8.000,8.120,-0.120,56.132,-18.000,74.132,0.000,3.707,0.00
1.780,8.000,8.130,-0.130,44.606,-19.500,74.106,-10.000,3.705,0.00
1.790,8.000,8.140,-0.140,43.078,-21.000,74.078,-10.000,3.704,0.00
1.800,8.000,8.140,-0.140,53.050,-21.000,74.050,0.000,3.703,0.00
1.810,8.000,8.150,-0.150,41.520,-22.500,74.020,-10.000,3.701,0.00
1.820,8.000,8.150,-0.150,51.490,-22.500,73.990,0.000,3.700,0.00
1.830,8.000,8.160,-0.160,39.958,-24.000,73.958,-10.000,3.698,0.00
1.840,8.000,8.170,-0.170,38.424,-25.500,73.924,-10.000,3.696,0.00
1.850,8.000,8.170,-0.170,48.390,-25.500,73.890,0.000,3.695,0.00
1.860,8.000,8.180,-0.180,36.854,-27.000,73.854,-10.000,3.693,0.00
1.870,8.000,8.180,-0.180,46.818,-27.000,73.818,0.000,3.691,0.00
1.880,8.000,8.190,-0.190,35.280,-28.500,73.780,-10.000,3.689,0.00
1.890,8.000,8.190,-0.190,45.242,-28.500,73.742,0.000,3.687,0.00
1.900,8.000,8.200,-0.200,33.702,-30.000,73.702,-10.000,3.685,0.00
1.910,8.000,8.200,-0.200,43.662,-30.000,73.662,0.000,3.683,0.00
1.920,8.000,8.210,-0.210,32.120,-31.500,73.620,-10.000,3.681,0.00
1.930,8.000,8.210,-0.210,42.078,-31.500,73.578,0.000,3.679,0.00
1.940,8.000,8.220,-0.220,30.534,-33.000,73.534,-10.000,3.677,0.00
1.950,8.000,8.220,-0.220,40.490,-33.000,73.490,0.000,3.675,0.00
1.960,8.000,8.230,-0.230,28.944,-34.500,73.444,-10.000,3.672,0.00
1.970,8.000,8.230,-0.230,38.898,-34.500,73.398,0.000,3.670,0.00
1.980,8.000,8.240,-0.240,27.350,-36.000,73.350,-10.000,3.668,0.00
1.990,8.000,8.240,-0.240,37.302,-36.000,73.302,0.000,3.665,0.00
2.000,8.000,8.250,-0.250,25.752,-37.500,73.252,-10.000,3.663,0.00
2.010,8.000,8.250,-0.250,35.702,-37.500,73.202,0.000,3.660,0.00
2.020,8.000,8.250,-0.250,35.652,-37.500,73.152,0.000,3.658,0.00
2.030,8.000,8.250,-0.250,35.602,-37.500,73.102,0.000,3.655,0.00
2.050,8.000,8.260,-0.260,24.050,-39.000,73.050,-10.000,3.653,0.00
2.060,8.000,8.270,-0.270,22.496,-40.500,72.996,-10.000,3.650,0.00
2.070,8.000,8.270,-0.270,32.442,-40.500,72.942,0.000,3.647,0.00
2.080,8.000,8.280,-0.280,20.886,-42.000,72.886,-10.000,3.644,0.00
2.090,8.000,8.280,-0.280,30.830,-42.000,72.830,0.000,3.642,0.00
2.100,8.000,8.280,-0.280,30.774,-42.000,72.774,0.000,3.639,0.00
2.110,8.000,8.290,-0.290,19.216,-43.500,72.716,-10.000,3.636,0.00
2.120,8.000,8.290,-0.290,29.158,-43.500,72.658,0.000,3.633,0.00
2.130,8.000,8.290,-0.290,29.100,-43.500,72.600,0.000,3.630,0.00
2.140,8.000,8.300,-0.300,17.540,-45.000,72.540,-10.000,3.627,0.00
2.150,8.000,8.300,-0.300,27.480,-45.000,72.480,0.000,3.624,0.00
2.160,8.000,8.300,-0.300,27.420,-45.000,72.420,0.000,3.621,0.00
2.170,8.000,8.310,-0.310,15.858,-46.500,72.358,-10.000,3.618,0.00
2.180,8.000,8.310,-0.310,25.796,-46.500,72.296,0.000,3.615,0.00
2.190,8.000,8.310,-0.310,25.734,-46.500,72.234,0.000,3.612,0.00
2.200,8.000,8.320,-0.320,14.170,-48.000,72.170,-10.000,3.609,0.00
2.210,8.000,8.320,-0.320,24.106,-48.000,72.106,0.000,3.605,0.00
2.220,8.000,8.320,-0.320,24.042,-48.000,72.042,0.000,3.602,0.00
2.230,8.000,8.320,-0.320,23.978,-48.000,71.978,0.000,3.599,0.00
2.240,8.000,8.330,-0.330,12.412,-49.500,71.912,-10.000,3.596,0.00
2.250,8.000,8.330,-0.330,22.346,-49.500,71.846,0.000,3.592,0.00
2.260,8.000,8.330,-0.330,22.280,-49.500,71.780,0.000,3.589,0.00
2.270,8.000,8.330,-0.330,22.214,-49.500,71.714,0.000,3.586,0.00
2.280,8.000,8.330,-0.330,22.148,-49.500,71.648,0.000,3.582,0.00
2.290,8.000,8.340,-0.340,10.580,-51.000,71.580,-10.000,3.579,0.00
2.300,8.000,8.340,-0.340,20.512,-51.000,71.512,0.000,3.576,0.00
2.310,8.000,8.340,-0.340,20.444,-51.000,71.444,0.000,3.572,0.00
2.320,8.000,8.340,-0.340,20.376,-51.000,71.376,0.000,3.569,0.00
2.330,8.000,8.340,-0.340,20.308,-51.000,71.308,0.000,3.565,0.00
2.340,8.000,8.350,-0.350,8.738,-52.500,71.238,-10.000,3.562,0.00
2.350,8.000,8.350,-0.350,18.668,-52.500,71.168,0.000,3.558,0.00
2.360,8.000,8.350,-0.350,18.598,-52.500,71.098,0.000,3.555,0.00
2.370,8.000,8.350,-0.350,18.528,-52.500,71.028,0.000,3.551,0.00
2.380,8.000,8.350,-0.350,18.458,-52.500,70.958,0.000,3.548,0.00
2.390,8.000,8.360,-0.360,6.886,-54.000,70.886,-10.000,3.544,0.00
2.400,8.000,8.360,-0.360,16.814,-54.000,70.814,0.000,3.541,0.00
2.410,8.000,8.360,-0.360,16.742,-54.000,70.742,0.000,3.537,0.00
2.420,8.000,8.360,-0.360,16.670,-54.000,70.670,0.000,3.534,0.00
2.430,8.000,8.360,-0.360,16.598,-54.000,70.598,0.000,3.530,0.00
2.440,8.000,8.370,-0.370,5.024,-55.500,70.524,-10.000,3.526,0.00
2.450,8.000,8.370,-0.370,14.950,-55.500,70.450,0.000,3.523,0.00
